Code,Destination,Connect Cost(BRL),Included Seconds,Per Minute Cost(BRL),Initial Increment,Increment,Rate Group,Status,Created Date
55537,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55538,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55539,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55546,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55547,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55548,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55549,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55556,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55557,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55558,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55559,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55566,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55567,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55568,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55569,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55576,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55577,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55578,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55579,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55586,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55587,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55588,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55589,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55596,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55597,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55598,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55599,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55606,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55607,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55608,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55609,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55616,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55617,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55618,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55619,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55626,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55627,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55628,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55629,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55636,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55637,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55638,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55639,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55646,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55647,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55648,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55649,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55656,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55657,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55658,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55659,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55666,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55667,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55668,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55669,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55676,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55677,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55678,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55679,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55686,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55687,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55688,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55689,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55696,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55697,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55698,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55699,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55706,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55707,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55708,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55709,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55716,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55717,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55718,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55719,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55726,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55727,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55728,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55729,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55736,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55737,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55738,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55739,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55746,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55747,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55748,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55749,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55756,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55757,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55758,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55759,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55766,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55767,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55768,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55769,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55776,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55777,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55778,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55779,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55786,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55787,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
55788,Movel,0.4,3,0.8,30,6,Padrao,Active,9/12/2017 18:35
