Code,Destination,Connect Cost,Included Seconds,Per Minute Cost,Initial Increment,Increment,Priority,Strip,Prepend
55353344,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55193539,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55553387,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55553829,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55553387,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55943307,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55743681,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55793447,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55353366,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55833273,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55833365,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753253,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55743632,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55883530,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55873839,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55833278,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55893442,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753423,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753422,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753421,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753183,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753182,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753181,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753163,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753403,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753032,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753052,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753181,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753421,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753423,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753031,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753183,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753366,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753403,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753033,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753182,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55753422,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
55153274,Demais Cidades do Brasil - Fixo,0,4,0.1113,30,6,,55,8012
