Code,Destination,Connect Cost,Included Seconds,Per Minute Cost,Initial Increment,Increment,Precedence,Strip,Prepend
55183559,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55183579,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55183522,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55183521,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55183502,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55383255,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55643695,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55643695,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55443449,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55173814,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55653205,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55883624,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55413678,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55413177,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55413678,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753496,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753246,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55983454,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55873838,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55873211,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55873211,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55843533,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55273730,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55273735,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55983484,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55873868,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55913689,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55813744,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55863297,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55212745,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55453206,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55473534,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55473534,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55473542,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55473542,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55793437,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55793538,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55663518,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55743531,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55773486,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55773631,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55873932,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753285,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55813695,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55653335,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55933565,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55773632,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55813693,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55873985,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55943363,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55913804,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55913827,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55913817,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55733645,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55673408,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55983387,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55773485,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55773633,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55943427,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55663468,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55663468,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55333515,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55743651,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55273751,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55333753,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55443240,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55753404,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
55823644,Demais Cidades do Brasil - Fixo,0,4,0.09,30,6,,55,085
